datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902143203.081,13.780,-2.4986,1.6656,-1.5233,-0.7703,-0.2154,-0.5994,0.0313,21.6785,78.2844,13.0583
220902143203.179,13.880,-2.4971,1.6640,-1.5224,-0.7915,-0.2049,-0.5738,0.0482,22.3127,73.8405,9.8810
220902143203.290,13.980,-2.5031,1.6635,-1.5218,-0.7891,-0.2043,-0.5773,0.0488,22.2594,74.3293,9.8826
220902143203.389,14.080,-2.5075,1.6760,-1.5312,-0.7885,-0.1508,-0.5928,0.0646,18.3279,74.6191,4.6440
220902143203.486,14.180,-2.4986,1.6860,-1.5318,-0.7889,-0.0918,-0.6070,0.0272,10.2439,75.5020,3.9912
220902143203.582,14.280,-2.4929,1.7097,-1.5366,-0.7998,-0.0422,-0.5987,-0.0119,3.0595,73.7370,3.9938
220902143203.681,14.380,-2.4913,1.7302,-1.5365,-0.7988,0.0049,-0.6010,-0.0266,357.7215,73.8744,2.1024
220902143203.779,14.480,-2.4914,1.7427,-1.5345,-0.8010,0.0362,-0.5963,-0.0398,353.9542,73.2735,1.1851
220902143203.890,14.580,-2.4914,1.7424,-1.5309,-0.7989,0.0327,-0.5995,-0.0368,354.4749,73.7202,1.1254
220902143203.988,14.680,-2.4892,1.7421,-1.5296,-0.8077,0.0349,-0.5870,-0.0428,353.8804,71.9262,1.6286
220902143204.085,14.780,-2.4850,1.7415,-1.5312,-0.8174,0.0407,-0.5734,-0.0384,353.6534,70.0441,0.9330
220902143204.183,14.880,-2.4798,1.7391,-1.5332,-0.8204,0.0356,-0.5698,-0.0332,354.4742,69.5222,0.7980
220902143204.281,14.980,-2.4754,1.7381,-1.5344,-0.8260,0.0375,-0.5617,-0.0300,354.5104,68.4127,0.4309
220902143204.377,15.080,-2.4716,1.7366,-1.5355,-0.8326,0.0411,-0.5514,-0.0320,354.0425,66.9988,0.4614
220902143204.489,15.180,-2.4661,1.7335,-1.5376,-0.8423,0.0396,-0.5371,-0.0237,354.7076,65.0559,359.8474
220902143204.587,15.280,-2.4629,1.7303,-1.5400,-0.8516,0.0337,-0.5227,-0.0209,355.4549,63.0864,0.0273
220902143204.684,15.380,-2.4616,1.7276,-1.5406,-0.8592,0.0276,-0.5106,-0.0168,356.2982,61.4459,0.0415
220902143204.781,15.480,-2.4604,1.7281,-1.5423,-0.8641,0.0293,-0.5022,-0.0167,356.1405,60.3276,359.9662
220902143204.880,15.580,-2.4580,1.7260,-1.5430,-0.8764,0.0180,-0.4810,-0.0122,357.5143,57.5174,0.2364
220902143204.990,15.680,-2.4582,1.7255,-1.5462,-0.8795,0.0209,-0.4754,-0.0058,357.5783,56.8026,359.4397
220902143205.088,15.780,-2.4599,1.7241,-1.5492,-0.8828,0.0206,-0.4693,-0.0089,357.4339,55.9979,359.7916
220902143205.185,15.880,-2.4618,1.7225,-1.5501,-0.8879,0.0143,-0.4595,-0.0168,357.6619,54.7083,0.9575
220902143205.282,15.980,-2.4603,1.7241,-1.5514,-0.8918,0.0206,-0.4517,-0.0165,357.0387,53.7143,0.6262
220902143205.379,16.080,-2.4568,1.7250,-1.5520,-0.8999,0.0237,-0.4351,-0.0170,356.7033,51.5942,0.5764
220902143205.477,16.180,-2.4549,1.7236,-1.5542,-0.9056,0.0214,-0.4231,-0.0192,356.8495,50.0533,0.9553
220902143205.589,16.280,-2.4535,1.7212,-1.5573,-0.9108,0.0167,-0.4123,-0.0158,357.5100,48.6948,0.8556
220902143205.686,16.380,-2.4523,1.7195,-1.5602,-0.9159,0.0151,-0.4010,-0.0098,357.9604,47.2895,0.3388
220902143205.784,16.480,-2.4513,1.7194,-1.5635,-0.9210,0.0180,-0.3887,-0.0169,357.3459,45.7417,0.9809
220902143205.881,16.580,-2.4495,1.7186,-1.5664,-0.9255,0.0174,-0.3779,-0.0191,357.3329,44.3909,1.2729
220902143205.980,16.680,-2.4491,1.7174,-1.5693,-0.9275,0.0176,-0.3729,-0.0203,357.2638,43.7692,1.4124
220902143206.089,16.780,-2.4490,1.7171,-1.5723,-0.9307,0.0194,-0.3644,-0.0246,356.9038,42.7132,1.8121
220902143206.189,16.880,-2.4496,1.7164,-1.5748,-0.9335,0.0218,-0.3571,-0.0264,356.5850,41.8070,1.9355
220902143206.284,16.980,-2.4504,1.7150,-1.5774,-0.9364,0.0254,-0.3489,-0.0271,356.1845,40.8106,1.9005
220902143206.382,17.080,-2.4508,1.7136,-1.5799,-0.9398,0.0263,-0.3395,-0.0275,356.0903,39.6574,1.9433
220902143206.480,17.180,-2.4497,1.7127,-1.5827,-0.9432,0.0247,-0.3303,-0.0269,356.3104,38.5410,1.9730
220902143206.578,17.280,-2.4487,1.7130,-1.5843,-0.9455,0.0280,-0.3229,-0.0300,355.8528,37.6282,2.2216
220902143206.690,17.380,-2.4473,1.7136,-1.5860,-0.9473,0.0345,-0.3172,-0.0293,355.1833,36.9460,1.9367
220902143206.787,17.480,-2.4469,1.7125,-1.5877,-0.9480,0.0323,-0.3157,-0.0257,355.5518,36.7706,1.6301
220902143206.884,17.580,-2.4454,1.7123,-1.5891,-0.9474,0.0316,-0.3173,-0.0262,355.6166,36.9624,1.7063
220902143206.981,17.680,-2.4441,1.7114,-1.5903,-0.9477,0.0301,-0.3167,-0.0268,355.7592,36.8960,1.8275
220902143207.080,17.780,-2.4430,1.7106,-1.5914,-0.9479,0.0278,-0.3165,-0.0235,356.1194,36.8724,1.5492
220902143207.190,17.880,-2.4413,1.7108,-1.5913,-0.9478,0.0288,-0.3166,-0.0245,355.9813,36.8870,1.6150
220902143207.288,17.980,-2.4405,1.7113,-1.5906,-0.9473,0.0278,-0.3181,-0.0265,356.0201,37.0602,1.8648
220902143207.389,18.080,-2.4400,1.7115,-1.5898,-0.9468,0.0274,-0.3196,-0.0267,356.0508,37.2370,1.8975
220902143207.491,18.180,-2.4391,1.7105,-1.5894,-0.9464,0.0242,-0.3210,-0.0266,356.3920,37.4089,1.9973
220902143207.580,18.280,-2.4385,1.7102,-1.5892,-0.9459,0.0239,-0.3225,-0.0280,356.3701,37.5810,2.1515
220902143207.690,18.380,-2.4385,1.7101,-1.5890,-0.9451,0.0245,-0.3244,-0.0297,356.2381,37.8168,2.3083
220902143207.789,18.480,-2.4383,1.7101,-1.5890,-0.9448,0.0249,-0.3252,-0.0307,356.1624,37.9001,2.4003
220902143207.887,18.580,-2.4380,1.7099,-1.5886,-0.9452,0.0247,-0.3240,-0.0318,356.1353,37.7616,2.5347
220902143207.984,18.680,-2.4375,1.7098,-1.5886,-0.9451,0.0254,-0.3241,-0.0318,356.0670,37.7688,2.5142
220902143208.081,18.780,-2.4376,1.7099,-1.5879,-0.9457,0.0237,-0.3226,-0.0331,356.2005,37.5825,2.7204
220902143208.179,18.880,-2.4371,1.7102,-1.5874,-0.9457,0.0252,-0.3225,-0.0334,356.0312,37.5646,2.6954
220902143208.290,18.980,-2.4365,1.7099,-1.5866,-0.9458,0.0243,-0.3222,-0.0326,356.1572,37.5340,2.6414
220902143208.388,19.080,-2.4361,1.7095,-1.5859,-0.9455,0.0234,-0.3231,-0.0337,356.2161,37.6372,2.7971
220902143208.486,19.180,-2.4352,1.7080,-1.5859,-0.9451,0.0179,-0.3249,-0.0312,356.8987,37.8723,2.7160
220902143208.582,19.280,-2.4343,1.7072,-1.5856,-0.9447,0.0174,-0.3257,-0.0339,356.8487,37.9628,3.0278
220902143208.681,19.380,-2.4339,1.7084,-1.5846,-0.9443,0.0199,-0.3269,-0.0327,356.6158,38.1046,2.7949
220902143208.790,19.480,-2.4330,1.7080,-1.5843,-0.9449,0.0187,-0.3253,-0.0316,356.7920,37.9234,2.7288
220902143208.889,19.580,-2.4323,1.7074,-1.5841,-0.9447,0.0160,-0.3260,-0.0304,357.1331,38.0100,2.7019
220902143208.986,19.680,-2.4310,1.7067,-1.5839,-0.9451,0.0151,-0.3250,-0.0298,357.2525,37.8934,2.6640
220902143209.083,19.780,-2.4308,1.7067,-1.5831,-0.9453,0.0158,-0.3244,-0.0291,357.2004,37.8146,2.5727
220902143209.180,19.880,-2.4313,1.7069,-1.5823,-0.9455,0.0142,-0.3243,-0.0270,357.4560,37.8110,2.4047
220902143209.279,19.980,-2.4316,1.7070,-1.5817,-0.9456,0.0147,-0.3238,-0.0267,357.4134,37.7568,2.3524
220902143209.390,20.080,-2.4321,1.7071,-1.5814,-0.9456,0.0144,-0.3239,-0.0268,357.4411,37.7622,2.3766
220902143209.489,20.180,-2.4321,1.7073,-1.5813,-0.9454,0.0161,-0.3245,-0.0263,357.2815,37.8327,2.2563
220902143209.584,20.280,-2.4322,1.7068,-1.5817,-0.9449,0.0132,-0.3260,-0.0261,357.5946,38.0196,2.3410
220902143209.682,20.380,-2.4321,1.7063,-1.5821,-0.9449,0.0119,-0.3263,-0.0256,357.7528,38.0562,2.3242
220902143209.781,20.480,-2.4321,1.7064,-1.5821,-0.9452,0.0124,-0.3251,-0.0261,357.6894,37.9163,2.3680
220902143209.890,20.580,-2.4320,1.7063,-1.5824,-0.9460,0.0124,-0.3230,-0.0259,357.6978,37.6605,2.3488
220902143209.990,20.680,-2.4319,1.7057,-1.5824,-0.9467,0.0117,-0.3210,-0.0243,357.8349,37.4136,2.2080
220902143210.086,20.780,-2.4318,1.7057,-1.5826,-0.9474,0.0118,-0.3188,-0.0264,357.7555,37.1449,2.4324
220902143210.183,20.880,-2.4318,1.7052,-1.5826,-0.9480,0.0100,-0.3173,-0.0231,358.0783,36.9795,2.1435
220902143210.282,20.980,-2.4316,1.7045,-1.5836,-0.9482,0.0084,-0.3169,-0.0215,358.3041,36.9348,2.0291
